position_number,position_description,name,dob,nationality,value
6,Defensive Midfield,Kevin Strootman,"Feb 13, 1990 (30)",Netherlands,£7.20m
22,Defensive Midfield,Pape Gueye,"Jan 24, 1999 (21)",France / Senegal,£1.44m
34,Defensive Midfield,Alexandre Phliponeau,"Jan 26, 2000 (20)",France,£225Th.
43,Defensive Midfield,Nassim Ahmed,"Oct 9, 2000 (19)",France / Comoros,£135Th.
8,Central Midfield,Morgan Sanson,"Aug 18, 1994 (26)",France,£20.25m
21,Central Midfield,Valentin Rongier,"Dec 7, 1994 (25)",France,£14.40m
27,Central Midfield,Maxime López,"Dec 4, 1997 (22)",France / Algeria,£10.80m
38,Central Midfield,Ugo Bertelli,"Jul 15, 2003 (17)",France,£270Th.
41,Central Midfield,Cheick Souare,"Sep 3, 2002 (17)",France / Guinea,£135Th.
24,Attacking Midfield,Saîf-Eddine Khaoui,"Apr 27, 1995 (25)",Tunisia / France,£1.80m
29,Attacking Midfield,Florian Chabrolle,"Apr 7, 1998 (22)",France,£225Th.
39,Attacking Midfield,Jorès Rahou,"Feb 2, 2003 (17)",France / Algeria,£180Th.
10,Left Winger,Dimitri Payet,"Mar 29, 1987 (33)",France,£9.00m
7,Left Winger,Nemanja Radonjic,"Feb 15, 1996 (24)",Serbia,£5.85m
23,Left Winger,Marley Aké,"Jan 5, 2001 (19)",France / Cote d'Ivoire,£1.17m
26,Right Winger,Florian Thauvin,"Jan 26, 1993 (27)",France,£28.80m
9,Centre-Forward,Darío Benedetto,"May 17, 1990 (30)",Argentina / Mexico,£10.80m
28,Centre-Forward,Valère Germain,"Apr 17, 1990 (30)",France,£3.60m
11,Centre-Forward,Konstantinos Mitroglou,"Mar 12, 1988 (32)",Greece,£1.44m
16,Goalkeeper,Edouard Mendy,"Mar 1, 1992 (28)",Senegal / Guinea-Bissau,£6.30m
30,Goalkeeper,Pépé Bonet,"Feb 13, 2003 (17)",DR Congo / France,£270Th.
1,Goalkeeper,Romain Salin,"Jul 29, 1984 (36)",France,£180Th.
26,Centre-Back,Jérémy Gelin,"Apr 24, 1997 (23)",France,£4.32m
3,Centre-Back,Damien Da Silva,"May 17, 1988 (32)",France / Portugal,£3.60m
6,Centre-Back,Nayef Aguerd,"Mar 30, 1996 (24)",Morocco,£3.60m
4,Centre-Back,Gerzino Nyamsi,"Jan 22, 1997 (23)",France / Cameroon,£1.80m
-,Centre-Back,Lilian Brassier,"Nov 2, 1999 (20)",France / Guadeloupe,£1.35m
17,Left-Back,Faitout Maouassa,"Jul 6, 1998 (22)",France / Congo,£10.80m
-,Left-Back,Namakoro Diallo,"Mar 29, 1996 (24)",France / Mali,£180Th.
31,Left-Back,Adrien Truffert,"Nov 20, 2001 (18)",France,£180Th.
27,Right-Back,Hamari Traoré,"Jan 27, 1992 (28)",Mali,£4.95m
34,Right-Back,Brandon Soppy,"Feb 21, 2002 (18)",France / Cote d'Ivoire,£2.70m
2,Right-Back,Sacha Boey,"Sep 13, 2000 (19)",France / Cameroon,£1.62m
10,Defensive Midfield,Eduardo Camavinga,"Nov 10, 2002 (17)",France / Angola,£33.75m
15,Defensive Midfield,Steven Nzonzi,"Dec 15, 1988 (31)",France / DR Congo,£9.90m
14,Central Midfield,Benjamin Bourigeaud,"Jan 14, 1994 (26)",France,£10.80m
8,Central Midfield,Clément Grenier,"Jan 7, 1991 (29)",France,£4.95m
12,Central Midfield,James Léa Siliki,"Jun 12, 1996 (24)",France / Cameroon,£4.32m
28,Central Midfield,Jonas Martin,"Apr 9, 1990 (30)",France,£2.52m
19,Attacking Midfield,Yann Gboho,"Jan 14, 2001 (19)",France / Cote d'Ivoire,£2.43m
-,Attacking Midfield,Hakim El Mokeddem,"Feb 15, 1999 (21)",France / Algeria,£270Th.
21,Left Winger,Martin Terrier,"Mar 4, 1997 (23)",France,£10.80m
20,Left Winger,Flavien Tait,"Feb 2, 1993 (27)",France,£4.95m
32,Left Winger,Lucas Da Cunha,"Jun 9, 2001 (19)",France / Portugal,£1.62m
7,Right Winger,Raphinha,"Dec 14, 1996 (23)",Brazil / Italy,£14.40m
22,Right Winger,Romain Del Castillo,"Mar 29, 1996 (24)",France / Spain,£4.32m
-,Right Winger,Armand Laurienté,"Dec 4, 1998 (21)",France / Guadeloupe,£900Th.
11,Centre-Forward,M'Baye Niang,"Dec 19, 1994 (25)",Senegal / France,£13.50m
18,Centre-Forward,Serhou Guirassy,"Mar 12, 1996 (24)",France / Guinea,£7.20m
23,Centre-Forward,Adrien Hunou,"Jan 19, 1994 (26)",France,£4.95m
9,Centre-Forward,Jordan Siebatcheu,"Apr 26, 1996 (24)",France / United States,£3.15m
-,Centre-Forward,Georginio Rutter,"Apr 20, 2002 (18)",France / Martinique,£135Th.
40,Goalkeeper,Walter Benítez,"Jan 19, 1993 (27)",Argentina,£7.20m
30,Goalkeeper,Yoan Cardinale,"Mar 27, 1994 (26)",France,£585Th.
16,Goalkeeper,Teddy Boulhendi,"Apr 9, 2001 (19)",France / Algeria,£135Th.
3,Centre-Back,Robson Bambu,"Nov 12, 1997 (22)",Brazil,£5.40m
24,Centre-Back,Andy Pelmard,"Mar 12, 2000 (20)",France / Guadeloupe,£3.24m
4,Centre-Back,Dante,"Oct 18, 1983 (36)",Brazil,£720Th.
33,Centre-Back,Flavius Daniliuc,"Apr 27, 2001 (19)",Austria,£450Th.
2,Left-Back,Stanley Nsoki,"Apr 9, 1999 (21)",France / Congo,£9.90m
13,Left-Back,Hassane Kamara,"Mar 5, 1994 (26)",France / The Gambia,£5.40m
-,Left-Back,Racine Coly,"Dec 8, 1995 (24)",Senegal,£2.25m
20,Right-Back,Youcef Atal,"May 17, 1996 (24)",Algeria,£18.00m
23,Right-Back,Jordan Lotomba,"Sep 29, 1998 (21)",Switzerland / DR Congo,£3.60m
15,Right-Back,Patrick Burner,"Apr 11, 1996 (24)",France / Martinique,£2.88m
6,Defensive Midfield,Morgan Schneiderlin,"Nov 8, 1989 (30)",France,£8.55m
21,Defensive Midfield,Danilo,"Feb 28, 1996 (24)",Brazil,£5.85m
-,Defensive Midfield,Adrien Tamèze,"Feb 4, 1994 (26)",Cameroon / France,£4.05m
19,Defensive Midfield,Khéphren Thuram,"Mar 26, 2001 (19)",France / Guadeloupe,£3.24m
25,Central Midfield,Wylan Cyprien,"Jan 28, 1995 (25)",France / Guadeloupe,£13.05m
8,Central Midfield,Pierre Lees Melou,"May 25, 1993 (27)",France,£7.20m
22,Central Midfield,Jean-Victor Makengo,"Jun 12, 1998 (22)",France / DR Congo,£3.24m
28,Central Midfield,Hicham Boudaoui,"Sep 23, 1999 (20)",Algeria,£3.24m
27,Central Midfield,Alexis Trouillet,"Dec 23, 2000 (19)",France,£720Th.
18,Attacking Midfield,Ihsan Sacko,"Jul 19, 1997 (23)",France / Mali,£1.44m
10,Left Winger,Alexis Claude-Maurice,"Jun 6, 1998 (22)",France / Guadeloupe,£7.20m
33,Left Winger,Pedro Brazão,"Dec 30, 2002 (17)",Portugal,£360Th.
22,Right Winger,Rony Lopes,"Dec 28, 1995 (24)",Portugal / Brazil,£9.00m
14,Right Winger,Dan Ndoye,"Oct 25, 2000 (19)",Switzerland / Senegal,£1.17m
34,Right Winger,Eddy Sylvestre,"Aug 29, 1999 (21)",France / Algeria,£270Th.
9,Centre-Forward,Kasper Dolberg,"Oct 6, 1997 (22)",Denmark,£18.00m
7,Centre-Forward,Myziane Maolida,"Feb 14, 1999 (21)",France / Comoros,£6.48m
11,Centre-Forward,Amine Gouiri,"Feb 16, 2000 (20)",France / Algeria,£6.30m
35,Centre-Forward,Evann Guessand,"Jul 1, 2001 (19)",France / Cote d'Ivoire,
1,Goalkeeper,Benoît Costil,"Jul 3, 1987 (33)",France,£3.15m
16,Goalkeeper,Gaëtan Poussin,"Jan 13, 1999 (21)",France,£810Th.
40,Goalkeeper,Over Mandanda,"Oct 26, 1998 (21)",France / DR Congo,£90Th.
3,Centre-Back,Pablo,"Jun 21, 1991 (29)",Brazil,£7.20m
6,Centre-Back,Laurent Koscielny,"Sep 10, 1985 (34)",France / Poland,£3.60m
4,Centre-Back,Mexer,"Sep 8, 1988 (31)",Mozambique,£2.88m
14,Centre-Back,Vukasin Jovanovic,"May 17, 1996 (24)",Serbia,£2.16m
24,Centre-Back,Paul Baysse,"May 18, 1988 (32)",France,£720Th.
27,Centre-Back,Alexandre Lauray,"Mar 18, 1997 (23)",France,£225Th.
23,Left-Back,Loris Benito,"Jan 7, 1992 (28)",Switzerland / Spain,£2.88m
29,Left-Back,Maxime Poundjé,"Aug 16, 1992 (28)",France / Cameroon,£2.16m
20,Right-Back,Youssouf Sabaly,"Mar 5, 1993 (27)",Senegal / France,£7.20m
25,Right-Back,Enock Kwateng,"Apr 9, 1997 (23)",France / Ghana,£2.88m
5,Defensive Midfield,Otávio,"May 4, 1994 (26)",Brazil,£5.85m
-,Defensive Midfield,Albert Lottin,"Aug 29, 2001 (19)",France / Cameroon,£405Th.
26,Central Midfield,Toma Basic,"Nov 25, 1996 (23)",Croatia,£4.32m
8,Central Midfield,Rubén Pardo,"Oct 22, 1992 (27)",Spain,£2.16m
19,Attacking Midfield,Yacine Adli,"Jul 29, 2000 (20)",France / Algeria,£5.67m
17,Attacking Midfield,Mehdi Zerkane,"Jul 15, 1999 (21)",France / Algeria,
28,Right Winger,Rémi Oudin,"Nov 18, 1996 (23)",France,£6.30m
10,Right Winger,Samuel Kalu,"Aug 26, 1997 (23)",Nigeria,£5.85m
9,Centre-Forward,Josh Maja,"Dec 27, 1998 (21)",Nigeria / England,£5.67m
12,Centre-Forward,Nicolas de Préville,"Jan 8, 1991 (29)",France,£4.95m
18,Centre-Forward,Ui-jo Hwang,"Aug 28, 1992 (28)","Korea, South",£2.16m
15,Centre-Forward,Alexandre Mendy,"Mar 20, 1994 (26)",France / Senegal,£1.62m
7,Centre-Forward,Jimmy Briand,"Aug 2, 1985 (35)",France / Martinique,£1.44m
1,Goalkeeper,Alban Lafont,"Jan 23, 1999 (21)",France / Burkina Faso,£9.90m
30,Goalkeeper,Denis Petric,"May 24, 1988 (32)",Serbia / Slovenia,£225Th.
40,Goalkeeper,Charly Jan,"May 27, 1999 (21)",France,£135Th.
3,Centre-Back,Andrei Girotto,"Feb 17, 1992 (28)",Brazil,£3.60m
21,Centre-Back,Jean-Charles Castelletto,"Jan 26, 1995 (25)",Cameroon / France,£2.16m
4,Centre-Back,Nicolas Pallois,"Sep 19, 1987 (32)",France,£1.80m
15,Centre-Back,Thomas Basila,"Apr 30, 1999 (21)",France,£1.62m
13,Centre-Back,Molla Wagué,"Feb 21, 1991 (29)",Mali / France,£720Th.
14,Left-Back,Charles Traoré,"Jan 1, 1992 (28)",Mali / France,£2.16m
2,Right-Back,Fábio,"Jul 9, 1990 (30)",Brazil / Portugal,£1.98m
12,Right-Back,Dennis Appiah,"Jun 9, 1992 (28)",France / Ghana,£1.26m
19,Defensive Midfield,Abdoulaye Touré,"Mar 3, 1994 (26)",France / Guinea,£7.20m
5,Defensive Midfield,Pedro Chirivella,"May 23, 1997 (23)",Spain,£720Th.
31,Defensive Midfield,Abou Ba,"Jul 29, 1998 (22)",France / Senegal,£540Th.
29,Defensive Midfield,Batista Mendy,"Jan 12, 2000 (20)",France / Senegal,£225Th.
26,Central Midfield,Imran Louza,"May 1, 1999 (21)",France / Morocco,£9.00m
18,Central Midfield,Samuel Moutoussamy,"Aug 12, 1996 (24)",DR Congo / France,£1.98m
8,Central Midfield,Mehdi Abeid,"Aug 6, 1992 (28)",Algeria / France,£1.80m
10,Attacking Midfield,Ludovic Blas,"Dec 31, 1997 (22)",France / Martinique,£9.00m
6,Attacking Midfield,Roli Pereira de Sa,"Dec 10, 1996 (23)",France / Portugal,£270Th.
27,Left Winger,Moses Simon,"Jul 12, 1995 (25)",Nigeria,£5.85m
17,Left Winger,Anthony Limbombe,"Jul 15, 1994 (26)",Belgium / DR Congo,£3.60m
36,Left Winger,Abdoulaye Dabo,"Mar 4, 2001 (19)",France / Guinea,£810Th.
11,Right Winger,Marcus Coco,"Jun 24, 1996 (24)",France / Guadeloupe,£2.16m
32,Right Winger,Abdoul Kader Bamba,"May 25, 1994 (26)",France / Mali,£1.44m
7,Centre-Forward,Kalifa Coulibaly,"Aug 21, 1991 (29)",Mali,£3.60m
28,Centre-Forward,Renaud Emond,"Dec 5, 1991 (28)",Belgium,£3.15m
20,Centre-Forward,Thody Élie Youan,"Apr 7, 1999 (21)",France / Cote d'Ivoire,£653Th.
22,Centre-Forward,Bridge Ndilu,"Jul 21, 2000 (20)",France / DR Congo,£315Th.
23,Centre-Forward,Randal Kolo Muani,"Dec 5, 1998 (21)",DR Congo / France,£270Th.
16,Goalkeeper,Stéphane Ruffier,"Sep 27, 1986 (33)",France,£2.16m
1,Goalkeeper,Stefan Bajic,"Dec 23, 2001 (18)",France / Serbia,£450Th.
30,Goalkeeper,Jessy Moulin,"Jan 13, 1986 (34)",France,£450Th.
40,Goalkeeper,Alexis Guendouz,"Jan 26, 1996 (24)",France / Algeria,£270Th.
3,Centre-Back,Wesley Fofana,"Dec 17, 2000 (19)",France / Cote d'Ivoire,£9.00m
5,Centre-Back,Timothée Kolodziejczak,"Oct 1, 1991 (28)",France / Poland,£4.32m
2,Centre-Back,Harold Moukoudi,"Nov 27, 1997 (22)",Cameroon / France,£2.88m
11,Left-Back,Gabriel Silva,"May 13, 1991 (29)",Brazil,£1.44m
13,Left-Back,Miguel Trauco,"Aug 25, 1992 (28)",Peru,£1.44m
23,Right-Back,Sergi Palencia,"Mar 23, 1996 (24)",Spain,£2.52m
26,Right-Back,Mathieu Debuchy,"Jul 28, 1985 (35)",France,£1.80m
27,Right-Back,Yvann Maçon,"Oct 1, 1998 (21)",France / Guadeloupe,£473Th.
19,Right-Back,Alpha Sissoko,"Mar 7, 1997 (23)",France / Mali,£360Th.
6,Defensive Midfield,Yann M'Vila,"Jun 29, 1990 (30)",France / Congo,£5.40m
25,Defensive Midfield,Assane Dioussé,"Sep 20, 1997 (22)",Senegal,£2.16m
19,Defensive Midfield,Yvan Neyou,"Jan 3, 1997 (23)",Cameroon / France,£360Th.
28,Central Midfield,Zaydou Youssouf,"Jul 11, 1999 (21)",France / Comoros,£6.48m
8,Central Midfield,Mahdi Camara,"Jun 30, 1998 (22)",France / Mali,£900Th.
17,Attacking Midfield,Adil Aouchiche,"Jul 15, 2002 (18)",France / Algeria,£4.86m
7,Attacking Midfield,Ryad Boudebouz,"Feb 19, 1990 (30)",Algeria / France,£2.52m
15,Attacking Midfield,Bilal Benkhedim,"Apr 20, 2001 (19)",France / Algeria,£1.08m
20,Left Winger,Denis Bouanga,"Nov 11, 1994 (25)",Gabon / France,£8.55m
18,Left Winger,Arnaud Nordin,"Jun 17, 1998 (22)",France / Martinique,£4.05m
22,Left Winger,Kévin Monnet-Paquet,"Aug 19, 1988 (32)",France / Rwanda,£1.08m
21,Right Winger,Romain Hamouma,"Mar 29, 1987 (33)",France,£1.80m
37,Right Winger,Maxence Rivera,"May 30, 2002 (18)",France,£450Th.
10,Centre-Forward,Wahbi Khazri,"Feb 8, 1991 (29)",Tunisia / France,£6.30m
9,Centre-Forward,Loïs Diony,"Dec 20, 1992 (27)",France / Martinique,£2.16m
29,Centre-Forward,Charles Abi,"Apr 12, 2000 (20)",France / Togo,£1.80m
14,Centre-Forward,Jean-Philippe Krasso,"Jul 17, 1997 (23)",France / Cote d'Ivoire,£540Th.
1,Goalkeeper,Jonas Omlin,"Jan 10, 1994 (26)",Switzerland,£4.32m
16,Goalkeeper,Dimitry Bertaud,"Jun 6, 1998 (22)",France,£810Th.
30,Goalkeeper,Matis Carvalho,"Apr 28, 1999 (21)",Portugal / France,£180Th.
5,Centre-Back,Pedro Mendes,"Oct 1, 1990 (29)",Portugal,£4.32m
31,Centre-Back,Nicolas Cozza,"Jan 8, 1999 (21)",France,£3.24m
27,Centre-Back,Clément Vidal,"Jun 18, 2000 (20)",France,£405Th.
3,Centre-Back,Daniel Congré,"Apr 5, 1985 (35)",France / Guadeloupe,£360Th.
4,Centre-Back,Hilton,"Sep 13, 1977 (42)",Brazil,£90Th.
8,Left-Back,Ambroise Oyongo,"Jun 22, 1991 (29)",Cameroon,£2.52m
17,Left-Back,Thibault Tamas,"Feb 20, 2001 (19)",France / Guadeloupe,£180Th.
2,Right-Back,Arnaud Souquet,"Feb 12, 1992 (28)",France,£3.60m
13,Defensive Midfield,Joris Chotard,"Sep 24, 2001 (18)",France,£6.30m
14,Defensive Midfield,Damien Le Tallec,"Apr 19, 1990 (30)",France,£2.88m
6,Defensive Midfield,Junior Sambia,"Sep 7, 1996 (23)",France / Central African Republic,£2.52m
-,Defensive Midfield,Killian Sanson,"Jun 7, 1997 (23)",France,£180Th.
11,Central Midfield,Téji Savanier,"Dec 22, 1991 (28)",France,£8.55m
12,Central Midfield,Jordan Ferri,"Mar 12, 1992 (28)",France,£2.52m
26,Central Midfield,Samy Benchama,"Jun 25, 2000 (20)",France / Algeria,£180Th.
23,Right Midfield,Thibaut Vargas,"May 22, 2000 (20)",France,£225Th.
7,Left Midfield,Mihailo Ristic,"Oct 31, 1995 (24)",Serbia / Bosnia-Herzegovina,£720Th.
25,Attacking Midfield,Florent Mollet,"Nov 19, 1991 (28)",France,£6.30m
29,Attacking Midfield,Amir Adouyev,"May 11, 1999 (21)",Russia / France,£135Th.
20,Left Winger,Keagan Dolly,"Jan 22, 1993 (27)",South Africa,£855Th.
24,Left Winger,Il-lok Yun,"Mar 7, 1992 (28)","Korea, South",£810Th.
9,Centre-Forward,Andy Delort,"Oct 9, 1991 (28)",Algeria / France,£11.70m
10,Centre-Forward,Gaëtan Laborde,"May 3, 1994 (26)",France,£7.20m
19,Centre-Forward,Stephy Mavididi,"May 31, 1998 (22)",England / DR Congo,£4.50m
-,Centre-Forward,Petar Skuletic,"Jun 29, 1990 (30)",Serbia / Montenegro,£585Th.
22,Centre-Forward,Bastian Badu,"Feb 2, 2000 (20)",France / Ghana,£315Th.
18,Centre-Forward,Yanis Ammour,"May 21, 1999 (21)",France / Tunisia,£180Th.
1,Goalkeeper,Matz Sels,"Feb 26, 1992 (28)",Belgium,£5.85m
30,Goalkeeper,Bingourou Kamara,"Oct 21, 1996 (23)",France / Mauritania,£1.08m
16,Goalkeeper,Eiji Kawashima,"Mar 20, 1983 (37)",Japan,£135Th.
2,Centre-Back,Mohamed Simakan,"May 3, 2000 (20)",France / Guinea,£10.80m
24,Centre-Back,Alexander Djiku,"Aug 9, 1994 (26)",France / Ghana,£5.85m
19,Centre-Back,Anthony Caci,"Jul 1, 1997 (23)",France,£2.88m
5,Centre-Back,Lamine Koné,"Feb 1, 1989 (31)",Cote d'Ivoire / France,£1.98m
13,Centre-Back,Stefan Mitrovic,"May 22, 1990 (30)",Serbia,£1.98m
29,Centre-Back,Ismaël Aaneba,"May 29, 1999 (21)",France / Morocco,£810Th.
23,Left-Back,Lionel Carole,"Apr 12, 1991 (29)",France / Martinique,£1.80m
10,Right-Back,Kenny Lala,"Oct 3, 1991 (28)",France / Martinique,£8.55m
27,Defensive Midfield,Ibrahima Sissoko,"Oct 27, 1997 (22)",France / Mali,£4.32m
18,Defensive Midfield,Mahame Siby,"Jul 7, 1996 (24)",France / Mali,£135Th.
17,Central Midfield,Jean-Ricner Bellegarde,"Jun 27, 1998 (22)",France / Haiti,£3.24m
11,Central Midfield,Dimitri Liénard,"Feb 13, 1988 (32)",France,£1.44m
14,Central Midfield,Sanjin Prcic,"Nov 20, 1993 (26)",Bosnia-Herzegovina / France,£1.44m
26,Attacking Midfield,Adrien Thomasson,"Dec 10, 1993 (26)",France / Croatia,£5.85m
21,Left Winger,Mehdi Chahiri,"Jul 25, 1996 (24)",France / Morocco,£720Th.
25,Centre-Forward,Ludovic Ajorque,"Feb 25, 1994 (26)",France / Madagascar,£6.12m
12,Centre-Forward,Lebo Mothiba,"Jan 28, 1996 (24)",South Africa,£3.60m
8,Centre-Forward,Majeed Waris,"Sep 19, 1991 (28)",Ghana,£2.16m
20,Centre-Forward,Kévin Zohi,"Dec 19, 1996 (23)",Mali / Cote d'Ivoire,£1.44m
9,Centre-Forward,Idriss Saadi,"Feb 8, 1992 (28)",Algeria / France,£653Th.
1,Goalkeeper,Paul Bernardoni,"Apr 18, 1997 (23)",France,£6.30m
30,Goalkeeper,Danijel Petkovic,"May 25, 1993 (27)",Montenegro,£653Th.
16,Goalkeeper,Ludovic Butelle,"Apr 3, 1983 (37)",France,£225Th.
24,Centre-Back,Romain Thomas,"Jun 12, 1988 (32)",France,£2.16m
4,Centre-Back,Mateo Pavlovic,"Jun 9, 1990 (30)",Croatia,£1.08m
8,Centre-Back,Ismaël Traoré,"Aug 18, 1986 (34)",Cote d'Ivoire / France,£1.08m
-,Centre-Back,Elhadji Pape Diaw,"Dec 31, 1994 (25)",Senegal,£225Th.
2,Left-Back,Rayan Aït Nouri,"Jun 6, 2001 (19)",France / Algeria,£18.00m
3,Left-Back,Souleyman Doumbia,"Sep 24, 1996 (23)",Cote d'Ivoire / France,£2.25m
6,Left-Back,Enzo Ebosse,"Mar 11, 1999 (21)",France / Cameroon,£405Th.
25,Right-Back,Abdoulaye Bamba,"Apr 25, 1990 (30)",Cote d'Ivoire / Italy,£1.80m
29,Right-Back,Vincent Manceau,"Jul 24, 1989 (31)",France,£1.53m
13,Right-Back,Haithem Loucif,"Jul 8, 1996 (24)",Algeria,£473Th.
18,Defensive Midfield,Baptiste Santamaria,"Mar 9, 1995 (25)",France,£6.30m
12,Defensive Midfield,Zinédine Ould Khaled,"Jan 14, 2000 (20)",France / Algeria,£135Th.
10,Central Midfield,Angelo Fulgini,"Aug 20, 1996 (24)",France / Cote d'Ivoire,£6.30m
23,Central Midfield,Antonin Bobichon,"Sep 14, 1995 (24)",France,£2.52m
5,Central Midfield,Thomas Mangani,"Apr 29, 1987 (33)",France / Italy,£1.44m
9,Central Midfield,Lassana Coulibaly,"Apr 10, 1996 (24)",Mali,£855Th.
-,Right Midfield,Harrison Manzala,"Mar 6, 1994 (26)",DR Congo / France,£720Th.
27,Left Midfield,Mathias Pereira Lage,"Nov 30, 1996 (23)",Portugal / France,£2.52m
15,Left Midfield,Pierrick Capelle,"Apr 15, 1987 (33)",France,£1.44m
14,Attacking Midfield,Anthony Gomez Mancini,"Apr 6, 2001 (19)",France / Spain,£225Th.
26,Attacking Midfield,Waniss Taïbi,"Mar 7, 2002 (18)",France / Algeria,
-,Left Winger,Thomas Touré,"Dec 27, 1993 (26)",Cote d'Ivoire / France,£900Th.
20,Right Winger,Sada Thioub,"Jun 1, 1995 (25)",Senegal / France,£2.52m
28,Right Winger,Farid El Melali,"May 5, 1997 (23)",Algeria,£1.44m
-,Right Winger,Kevin Bemanga,"Apr 20, 1998 (22)",France / Congo,
19,Centre-Forward,Stéphane Bahoken,"May 28, 1992 (28)",Cameroon / France,£4.05m
7,Centre-Forward,Rachid Alioui,"Jun 18, 1992 (28)",Morocco / France,£3.60m
11,Centre-Forward,Wilfried Kanga,"Feb 21, 1998 (22)",France / Cote d'Ivoire,£810Th.
1,Goalkeeper,Predrag Rajkovic,"Oct 31, 1995 (24)",Serbia,£7.20m
16,Goalkeeper,Yehvann Diouf,"Nov 16, 1999 (20)",France / Senegal,£315Th.
2,Centre-Back,Wout Faes,"Apr 3, 1998 (22)",Belgium,£2.43m
29,Centre-Back,Dario Maresic,"Sep 29, 1999 (20)",Austria / Croatia,£2.43m
5,Centre-Back,Yunis Abdelhamid,"Sep 28, 1987 (32)",Morocco / France,£1.80m
3,Left-Back,Ghislain Konan,"Dec 27, 1995 (24)",Cote d'Ivoire,£4.95m
28,Left-Back,Thibault De Smet,"Jun 5, 1998 (22)",Belgium,£630Th.
32,Right-Back,Thomas Foket,"Sep 25, 1994 (25)",Belgium,£4.32m
26,Right-Back,Sambou Sissoko,"Apr 27, 1999 (21)",France / Mali,£405Th.
-,Midfielder,Mouhamadou Drammeh,"May 15, 1999 (21)",France / The Gambia,£180Th.
7,Defensive Midfield,Xavier Chavalerin,"Mar 7, 1991 (29)",France,£3.60m
15,Defensive Midfield,Marshall Munetsi,"Jun 22, 1996 (24)",Zimbabwe,£1.08m
14,Central Midfield,Valon Berisha,"Feb 7, 1993 (27)",Kosovo / Norway,£3.60m
20,Central Midfield,Tristan Dingomé,"Feb 17, 1991 (29)",France / Cameroon,£1.44m
23,Central Midfield,Moreto Cassamá,"Feb 16, 1998 (22)",Guinea-Bissau / Portugal,£1.17m
24,Attacking Midfield,Mathieu Cafaro,"Mar 25, 1997 (23)",France,£5.40m
18,Attacking Midfield,Fraser Hornby,"Sep 13, 1999 (20)",Scotland / England,£1.80m
10,Left Winger,Arbër Zeneli,"Feb 25, 1995 (25)",Kosovo / Sweden,£3.60m
21,Left Winger,Nathanaël Mbuku,"Mar 16, 2002 (18)",France / DR Congo,£3.60m
25,Left Winger,Moussa Doumbia,"Aug 15, 1994 (26)",Mali,£1.80m
8,Right Winger,Dereck Kutesa,"Dec 6, 1997 (22)",Switzerland / Angola,£1.26m
11,Centre-Forward,Boulaye Dia,"Nov 16, 1996 (23)",France / Senegal,£5.40m
27,Centre-Forward,El Bilal Touré,"Oct 3, 2001 (18)",Mali / Cote d'Ivoire,£3.15m
9,Centre-Forward,Kaj Sierhuis,"Apr 27, 1998 (22)",Netherlands,£2.43m
17,Centre-Forward,Anastasios Donis,"Aug 29, 1996 (24)",Greece / England,£1.80m
16,Goalkeeper,Alexandre Oukidja,"Jul 19, 1988 (32)",Algeria / France,£2.70m
30,Goalkeeper,Marc-Aurèle Caillard,"May 12, 1994 (26)",France,£1.08m
1,Goalkeeper,Paul Delecroix,"Oct 14, 1988 (31)",France,£360Th.
2,Centre-Back,Dylan Bronn,"Jun 19, 1995 (25)",Tunisia / France,£3.60m
6,Centre-Back,Mamadou Fofana,"Jan 21, 1998 (22)",Mali,£2.88m
23,Centre-Back,Kiki Kouyaté,"Apr 15, 1997 (23)",Mali,£1.98m
21,Centre-Back,John Boye,"Apr 23, 1987 (33)",Ghana,£720Th.
29,Centre-Back,Lenny Lacroix,"Feb 6, 2003 (17)",France,£360Th.
3,Left-Back,Matthieu Udol,"Mar 20, 1996 (24)",France / Guadeloupe,£1.08m
17,Left-Back,Thomas Delaine,"Mar 24, 1992 (28)",France,£1.08m
28,Left-Back,Manuel Cabit,"Jun 3, 1993 (27)",Martinique / France,£585Th.
18,Right-Back,Fabien Centonze,"Jan 16, 1996 (24)",France,£3.60m
24,Right-Back,Laurent Jans,"Aug 5, 1992 (28)",Luxembourg,£675Th.
4,Defensive Midfield,Kévin N'Doram,"Jan 22, 1996 (24)",France / Chad,£2.52m
19,Defensive Midfield,Habib Maïga,"Jan 1, 1996 (24)",Cote d'Ivoire,£2.52m
14,Defensive Midfield,Vincent Pajot,"Aug 19, 1990 (30)",France,£1.44m
-,Defensive Midfield,Gerónimo Poblete,"Jan 2, 1993 (27)",Argentina,£1.08m
5,Central Midfield,Victorien Angban,"Sep 29, 1996 (23)",Cote d'Ivoire,£2.52m
8,Central Midfield,Boubacar Traoré,"Aug 20, 2001 (19)",Mali,£135Th.
12,Right Midfield,Warren Tchimbembé,"Apr 21, 1998 (22)",France / Congo,£900Th.
22,Left Midfield,Youssef Maziz,"Jun 24, 1998 (22)",France / Morocco,£720Th.
-,Attacking Midfield,Vincent Thill,"Feb 4, 2000 (20)",Luxembourg,£1.62m
11,Left Winger,Opa Nguette,"Jul 8, 1994 (26)",Senegal / France,£2.52m
-,Left Winger,Cheikh Tidiane Sabaly,"Mar 4, 1999 (21)",Senegal,£450Th.
27,Right Winger,Vagner,"Jan 10, 1996 (24)",Cape Verde,£3.15m
